,Subgroup,Variable,Area,Year,Value,Unit
7653,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe,2020,1.231369434,%
7654,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe and Northern America,2020,2.118495676,%
7655,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2020,0.175131349,%
7656,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2020,0.909090909,%
7657,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2020,1.50861214,%
7658,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2020,0.024277108,%
7659,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2020,0.49,%
7660,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2020,1.117748302,%
7661,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2020,0.259295186,%
7662,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2020,1.903914591,%
7663,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2020,11.85233918,%
7664,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2020,1.05,%
7665,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2020,1.47447424,%
7666,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2020,0.265486726,%
7667,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2020,0.458598726,%
7668,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2020,0.502952029,%
7669,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2020,8.622165169,%
7670,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2020,1.27815633,%
7671,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2020,0.526634615,%
7672,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2020,0.000176471,%
7673,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2020,36.00397718,%
7674,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2020,9.397136771,%
7675,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2020,62.75311029,%
7676,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2020,49.22101046,%
7677,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2020,0.072884615,%
7678,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2020,67.13483146,%
7679,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2020,8.886565604,%
7680,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2020,1.05331239,%
7681,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2020,12.39534884,%
7682,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2020,60.89754536,%
7683,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2020,14.20533161,%
7684,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2020,10.53420195,%
7685,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2020,3892.0,%
7686,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2020,30.06181726,%
7687,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Land Locked Developing Countries,2020,6.437283322,%
7688,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2020,2.113943029,%
7689,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latin America and the Caribbean,2020,2.017419164,%
7690,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2020,0.158345736,%
7691,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Least Developed Countries,2020,2.931169218,%
7692,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lebanon,2020,15.54519209,%
7693,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lesotho,2020,0.12574454,%
7694,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Liberia,2020,0.005301724,%
7695,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Libya,2020,692.8571429,%
7696,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lithuania,2020,0.23322449,%
7697,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Luxembourg,2020,0.0,%
7698,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Madagascar,2020,3.857566766,%
7699,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malawi,2020,6.747685185,%
7700,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malaysia,2020,0.431896552,%
7701,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Maldives,2020,0.0,%
7702,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mali,2020,4.229166667,%
7703,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malta,2020,47.71269426,%
7704,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritania,2020,10.72807018,%
7705,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritius,2020,11.0868775,%
7706,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mexico,2020,14.68472877,%
7707,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mongolia,2020,0.720977012,%
7708,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Morocco,2020,31.57241379,%
7709,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mozambique,2020,0.495624136,%
7710,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Myanmar,2020,2.532111663,%
7711,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Namibia,2020,0.503633175,%
7712,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nepal,2020,4.433872502,%
7713,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Netherlands (Kingdom of the),2020,0.337582418,%
7714,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,New Zealand,2020,0.980733945,%
7715,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nicaragua,2020,0.658886458,%
7716,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Niger,2020,6.90574743,%
7717,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nigeria,2020,1.925227114,%
7718,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,North Macedonia,2020,2.171875,%
7719,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Northern Africa,2020,74.04009582,%
7720,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Northern Africa and Western Asia,2020,51.82261157,%
7721,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Northern America,2020,3.176452138,%
7722,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Norway,2020,0.214987277,%
7723,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Oceania,2020,0.717246141,%
7724,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Oceania (excluding Australia and New Zealand),2020,0.006147912,%
7725,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Oman,2020,110.5,%
7726,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Pakistan,2020,69.8541329,%
7727,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Palestine,2020,25.78255675,%
7728,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Panama,2020,0.320234882,%
7729,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Papua New Guinea,2020,0.000124844,%
7730,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Paraguay,2020,0.48920752,%
7731,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Peru,2020,1.744866475,%
7732,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Philippines,2020,14.16092376,%
7733,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Poland,2020,2.295867769,%
7734,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Portugal,2020,4.417932816,%
7735,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Puerto Rico,2020,1.598591549,%
7736,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Qatar,2020,555.0977586,%
7737,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Republic of Korea,2020,22.89813486,%
7738,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Republic of Moldova,2020,0.448247759,%
7739,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Romania,2020,0.673081458,%
7740,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Russian Federation,2020,0.411893195,%
7741,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Rwanda,2020,2.706766917,%
7742,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saint Kitts and Nevis,2020,0.833333333,%
7743,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saint Lucia,2020,10.13333333,%
7744,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saint Vincent and the Grenadines,2020,0.0,%
7745,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sao Tome and Principe,2020,1.174311927,%
7746,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saudi Arabia,2020,883.3333333,%
7747,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Senegal,2020,7.078989479,%
7748,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Serbia,2020,0.407336621,%
7749,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sierra Leone,2020,0.0285625,%
7750,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Singapore,2020,4.4,%
7751,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Slovakia,2020,0.058882235,%
7752,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Slovenia,2020,0.009413241,%
7753,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Small Island Developing States,2020,1.283722982,%
7754,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Somalia,2020,22.31972789,%
7755,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,South Africa,2020,23.34761441,%
7756,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,South Sudan,2020,0.484848485,%
7757,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,South-eastern Asia,2020,8.208605571,%
7758,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Southern Asia,2020,41.07885373,%
7759,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Spain,2020,17.00448431,%
7760,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sri Lanka,2020,21.42045455,%
7761,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sub-Saharan Africa,2020,2.002249762,%
7762,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sudan,2020,68.54497355,%
7763,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Suriname,2020,0.435454546,%
7764,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sweden,2020,0.05862069,%
7765,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Switzerland,2020,0.299252336,%
7766,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Syrian Arab Republic,2020,87.3110344,%
7767,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tajikistan,2020,33.67412141,%
7768,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Thailand,2020,11.80775632,%
7769,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Timor-Leste,2020,13.03712721,%
7770,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Togo,2020,0.517006803,%
7771,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Trinidad and Tobago,2020,0.434895833,%
7772,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2020,58.72156013,%
7773,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Turkmenistan,2020,65.09024833,%
7774,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Türkiye,2020,25.64744802,%
7775,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uganda,2020,0.430948419,%
7776,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ukraine,2020,1.745207668,%
7777,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Arab Emirates,2020,1544.064455,%
7778,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Kingdom of Great Britain and Northern Ireland,2020,0.804761905,%
7779,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Republic of Tanzania,2020,4.811467747,%
7780,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United States of America,2020,5.741283806,%
7781,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uruguay,2020,1.840882695,%
7782,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uzbekistan,2020,111.2338858,%
7783,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Venezuela (Bolivarian Republic of),2020,1.261132075,%
7784,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Viet Nam,2020,8.794055106,%
7785,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Western Asia,2020,42.91116898,%
7786,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,World,2020,6.755888853,%
7787,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Yemen,2020,154.047619,%
7788,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zambia,2020,1.099236641,%
7789,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zimbabwe,2020,15.20534826,%
