VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Japan,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Jordan,2020,92.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Kazakhstan,2020,85.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Kenya,2020,56.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Kiribati,2020,50.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Kuwait,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Kyrgyzstan,2020,86.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Lao People's Democratic Republic,2020,69.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Latvia,2020,98.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Lebanon,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Lesotho,2020,77,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Liberia,2020,62.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Libya,2020,68.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Lithuania,2020,90.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Luxembourg,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Madagascar,2020,35.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Malawi,2020,89.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Malaysia,2020,93,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Maldives,2020,97.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mali,2020,64.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Malta,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Marshall Islands,2020,97.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mauritania,2020,57.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mauritius,2020,99.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mexico,2020,92.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Micronesia (Federated States of),2020,87.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mongolia,2020,59.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Montenegro,2020,99.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Morocco,2020,65.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mozambique,2020,37,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Myanmar,2020,74.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Namibia,2020,84.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Nepal,2020,91.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Netherlands (Kingdom of the),2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),New Zealand,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Nicaragua,2020,69.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Niger,2020,48.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Nigeria,2020,57.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Niue,2020,98.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),North Macedonia,2020,98.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Norway,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Oman,2020,86.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Pakistan,2020,89.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Palau,2020,86,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Palestine,2020,81.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Panama,2020,88.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Papua New Guinea,2020,32.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Paraguay,2020,94.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Peru,2020,69.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Philippines,2020,90.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Poland,2020,96.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Portugal,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Puerto Rico,2020,93.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Qatar,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Republic of Korea,2020,87.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Republic of Moldova,2020,81.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Romania,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Russian Federation,2020,91.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Rwanda,2020,71.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Saint Kitts and Nevis,2020,98.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Saint Lucia,2020,95.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Saint Vincent and the Grenadines,2020,95.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Samoa,2020,99.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Sao Tome and Principe,2020,93.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Saudi Arabia,2020,97,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Senegal,2020,67.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Serbia,2020,98.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Seychelles,2020,95.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Sierra Leone,2020,47.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Slovakia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Slovenia,2020,99.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Solomon Islands,2020,77.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Somalia,2020,8.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),South Africa,2020,81.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),South Sudan,2020,56.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Spain,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Sri Lanka,2020,95,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Sudan,2020,50.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Suriname,2020,88.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Sweden,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Switzerland,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Syrian Arab Republic,2020,87.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Tajikistan,2020,66.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Thailand,2020,98,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Timor-Leste,2020,60.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Togo,2020,44.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Tokelau,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Tonga,2020,99.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Trinidad and Tobago,2020,95.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Tunisia,2020,93.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Turkmenistan,2020,34.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Tuvalu,2020,97,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Türkiye,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Uganda,2020,75.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Ukraine,2020,97.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),United Arab Emirates,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),United Kingdom of Great Britain and Northern Ireland,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),United Republic of Tanzania,2020,45.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),United States of America,2020,98.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Uruguay,2020,93.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Uzbekistan,2020,80.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Vanuatu,2020,92.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Venezuela (Bolivarian Republic of),2020,77.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Viet Nam,2020,96.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Yemen,2020,46.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Zambia,2020,51.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Zimbabwe,2020,67.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Afghanistan,2020,55.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Albania,2020,95.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Algeria,2020,83.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Andorra,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Angola,2020,49,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Antigua and Barbuda,2020,97.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Argentina,2020,99.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Armenia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Australia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Austria,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Azerbaijan,2020,87,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bahamas,2020,98.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bahrain,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bangladesh,2020,86.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Barbados,2020,99.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Belarus,2020,99.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Belgium,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Belize,2020,99.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Benin,2020,77.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bhutan,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2020,90,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2020,99.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Botswana,2020,96.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Brazil,2020,98.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Bulgaria,2020,99.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Burkina Faso,2020,82.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Burundi,2020,75.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Cabo Verde,2020,91.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Cambodia,2020,75.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Cameroon,2020,75.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Canada,2020,99.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Central African Republic,2020,68.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Chad,2020,50.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Chile,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),China,2020,95.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Colombia,2020,91.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Comoros,2020,90.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Congo,2020,76.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Cook Islands,2020,99.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Costa Rica,2020,97.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Croatia,2020,99.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Cuba,2020,94.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Cyprus,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Czechia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Côte d'Ivoire,2020,81.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2020,99.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2020,52.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Denmark,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Total population with access to safe drinking-water (JMP),Djibouti,2020,90,%,I,FALSE
